City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,omdurman,15.6446,32.4777,81.88,58,85,9.75,SD,Fri Aug  4 04:07:17 2023
232,aasiaat,68.7096,-52.8513,31.39,96,81,2.13,GL,Fri Aug  4 04:07:18 2023
233,wellington,-41.2888,174.7772,53.83,76,52,11.5,NZ,Fri Aug  4 04:07:18 2023
234,nuuk,64.175,-51.7355,45.32,81,75,6.91,GL,Fri Aug  4 04:07:18 2023
235,puerto san carlos,-12.6608,-63.55,74.21,45,1,3.15,BR,Fri Aug  4 03:59:17 2023
236,elliot lake,46.3735,-82.6529,59.88,83,19,5.66,CA,Fri Aug  4 04:05:54 2023
237,loanda,-22.9321,-53.1352,66.38,50,0,3.27,BR,Fri Aug  4 04:07:19 2023
238,severobaykal'sk,55.636,109.3356,58.66,85,100,3.74,RU,Fri Aug  4 04:07:20 2023
239,kapuskasing,49.4167,-82.4333,56.17,97,52,5.44,CA,Fri Aug  4 04:07:20 2023
240,lompoc,34.6392,-120.4579,62.78,91,100,16.11,US,Fri Aug  4 04:05:22 2023
241,kodiak,57.79,-152.4072,56.71,82,100,0.0,US,Fri Aug  4 04:07:21 2023
242,alo,-14.342,-178.042,75.02,85,100,20.38,WF,Fri Aug  4 04:07:21 2023
243,okha,53.5891,142.9498,61.74,74,93,13.73,RU,Fri Aug  4 04:07:21 2023
244,akureyri,65.6839,-18.1122,44.42,91,19,1.28,IS,Fri Aug  4 04:07:22 2023
245,new norfolk,-42.7802,147.0615,60.53,83,100,7.36,AU,Fri Aug  4 04:07:22 2023
246,hargeysa,9.5617,44.0618,68.11,60,20,31.94,SO,Fri Aug  4 04:07:22 2023
247,alcudia,39.8532,3.1213,77.2,62,63,8.97,ES,Fri Aug  4 04:07:23 2023
248,arraial do cabo,-22.9663,-42.0244,69.08,88,0,11.59,BR,Fri Aug  4 03:59:09 2023
249,grand baie,-20.013,57.5846,73.53,76,22,3.0,MU,Fri Aug  4 04:07:23 2023
250,luwuk,-0.9528,122.788,85.75,68,56,7.52,ID,Fri Aug  4 04:07:24 2023
251,hithadhoo,1.7959,73.3876,82.04,74,54,4.29,MV,Fri Aug  4 04:07:25 2023
252,san patricio,27.9695,-97.7732,85.86,74,54,13.76,US,Fri Aug  4 04:07:25 2023
253,fort st. john,56.2524,-120.8469,64.29,68,75,3.44,CA,Fri Aug  4 04:05:41 2023
254,tangalle,6.022,80.796,88.11,69,51,14.23,LK,Fri Aug  4 04:07:26 2023
255,kununurra,-15.7731,128.7388,89.51,31,40,11.5,AU,Fri Aug  4 04:07:26 2023
256,betioky,-23.7186,44.3795,59.76,65,0,7.78,MG,Fri Aug  4 04:07:27 2023
257,geraldton,-28.7704,114.6147,59.16,67,75,13.8,AU,Fri Aug  4 03:59:21 2023
258,nawabganj,24.5954,88.2708,88.39,67,99,6.08,BD,Fri Aug  4 04:07:27 2023
259,pathein,16.7833,94.7333,86.63,70,48,15.88,MM,Fri Aug  4 04:07:28 2023
260,ponte de lima,41.7675,-8.5831,59.52,95,2,6.29,PT,Fri Aug  4 04:07:28 2023
261,linqiong,30.4145,103.4654,86.16,67,16,3.76,CN,Fri Aug  4 04:07:29 2023
262,ciudad lazaro cardenas,20.4622,-97.6991,73.65,91,100,0.51,MX,Fri Aug  4 04:07:30 2023
263,vorkuta,67.5036,64.0627,76.05,56,24,5.23,RU,Fri Aug  4 04:07:30 2023
264,burang,30.2962,81.1748,58.8,67,97,4.09,CN,Fri Aug  4 04:07:31 2023
265,amsterdam,52.3728,4.8936,61.9,91,20,6.91,NL,Fri Aug  4 04:05:42 2023
266,xilin hot,43.9312,116.0789,79.18,54,98,7.23,CN,Fri Aug  4 04:07:32 2023
267,anloga,5.7936,0.8985,75.49,85,66,9.01,GH,Fri Aug  4 04:07:32 2023
268,bogdanovich,56.7683,62.0521,71.92,68,76,9.53,RU,Fri Aug  4 04:07:32 2023
269,haridwar,28.0194,82.4891,82.17,79,75,4.85,NP,Fri Aug  4 04:07:33 2023
